dataset	short_step	short_pairs	short_mean_score	short_status	long_step	long_pairs	long_mean_score	long_status	renders_dir	message
flower_130	1	28	0.025660	success	5	24	0.091745	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_130/train/ours_31500/renders	
flower_131	1	28	0.094210	success	5	24	0.193772	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_131/train/ours_31500/renders	
flower_132	1	28	0.113010	success	5	24	0.211539	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_132/train/ours_31500/renders	
flower_133	1	28	0.171839	success	5	24	0.279841	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_133/train/ours_31500/renders	
flower_134	1	28	0.163697	success	5	24	0.286131	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_134/train/ours_31500/renders	
flower_135	1	28	0.145999	success	5	24	0.265502	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_135/train/ours_31500/renders	
flower_136	1	28	0.171766	success	5	24	0.286328	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_136/train/ours_31500/renders	
flower_137	1	28	0.146468	success	5	24	0.268730	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_137/train/ours_31500/renders	
flower_138	1	28	0.126136	success	5	24	0.231812	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_138/train/ours_31500/renders	
flower_139	1	28	0.132988	success	5	24	0.249292	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_139/train/ours_31500/renders	
flower_140	1	28	0.138286	success	5	24	0.258698	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_140/train/ours_31500/renders	
flower_141	1	28	0.118911	success	5	24	0.230173	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_141/train/ours_31500/renders	
garden_0	1	160	0.190775	success	5	156	0.484088	success	/mnt/data2/experiments/3dgs/output_Stylized/garden_0/train/ours_31500/renders	
garden_1	1	160	0.193912	success	5	156	0.479073	success	/mnt/data2/experiments/3dgs/output_Stylized/garden_1/train/ours_31500/renders	
garden_2	1	160	0.186488	success	5	156	0.490861	success	/mnt/data2/experiments/3dgs/output_Stylized/garden_2/train/ours_31500/renders	
garden_3	1	160	0.064889	success	5	156	0.180694	success	/mnt/data2/experiments/3dgs/output_Stylized/garden_3/train/ours_31500/renders	
garden_4	1	160	0.183108	success	5	156	0.458937	success	/mnt/data2/experiments/3dgs/output_Stylized/garden_4/train/ours_31500/renders	
garden_5	1	160	0.196606	success	5	156	0.474143	success	/mnt/data2/experiments/3dgs/output_Stylized/garden_5/train/ours_31500/renders	
garden_6	1	160	0.185535	success	5	156	0.454984	success	/mnt/data2/experiments/3dgs/output_Stylized/garden_6/train/ours_31500/renders	
garden_7	1	160	0.167583	success	5	156	0.448688	success	/mnt/data2/experiments/3dgs/output_Stylized/garden_7/train/ours_31500/renders	
garden_8	1	160	0.203770	success	5	156	0.543169	success	/mnt/data2/experiments/3dgs/output_Stylized/garden_8/train/ours_31500/renders	
garden_9	1	160	0.194884	success	5	156	0.480753	success	/mnt/data2/experiments/3dgs/output_Stylized/garden_9/train/ours_31500/renders	
garden_10	1	160	0.194012	success	5	156	0.546840	success	/mnt/data2/experiments/3dgs/output_Stylized/garden_10/train/ours_31500/renders	
garden_11	1	160	0.184328	success	5	156	0.511507	success	/mnt/data2/experiments/3dgs/output_Stylized/garden_11/train/ours_31500/renders	
garden_12	1	160	0.225346	success	5	156	0.515398	success	/mnt/data2/experiments/3dgs/output_Stylized/garden_12/train/ours_31500/renders	
garden_13	1	160	0.170177	success	5	156	0.489651	success	/mnt/data2/experiments/3dgs/output_Stylized/garden_13/train/ours_31500/renders	
garden_14	1	160	0.184306	success	5	156	0.462699	success	/mnt/data2/experiments/3dgs/output_Stylized/garden_14/train/ours_31500/renders	
garden_15	1	160	0.155421	success	5	156	0.439246	success	/mnt/data2/experiments/3dgs/output_Stylized/garden_15/train/ours_31500/renders	
garden_16	1	160	0.194942	success	5	156	0.512378	success	/mnt/data2/experiments/3dgs/output_Stylized/garden_16/train/ours_31500/renders	
garden_17	1	160	0.189796	success	5	156	0.499666	success	/mnt/data2/experiments/3dgs/output_Stylized/garden_17/train/ours_31500/renders	
garden_18	1	160	0.179996	success	5	156	0.454268	success	/mnt/data2/experiments/3dgs/output_Stylized/garden_18/train/ours_31500/renders	
garden_19	1	160	0.186945	success	5	156	0.497122	success	/mnt/data2/experiments/3dgs/output_Stylized/garden_19/train/ours_31500/renders	
garden_20	1	160	0.209953	success	5	156	0.578115	success	/mnt/data2/experiments/3dgs/output_Stylized/garden_20/train/ours_31500/renders	
garden_21	1	160	0.234213	success	5	156	0.389537	success	/mnt/data2/experiments/3dgs/output_Stylized/garden_21/train/ours_31500/renders	
garden_22	1	160	0.206142	success	5	156	0.608197	success	/mnt/data2/experiments/3dgs/output_Stylized/garden_22/train/ours_31500/renders	
garden_23	1	160	0.200746	success	5	156	0.591847	success	/mnt/data2/experiments/3dgs/output_Stylized/garden_23/train/ours_31500/renders	
garden_24	1	160	0.182810	success	5	156	0.458313	success	/mnt/data2/experiments/3dgs/output_Stylized/garden_24/train/ours_31500/renders	
garden_25	1	160	0.176083	success	5	156	0.520613	success	/mnt/data2/experiments/3dgs/output_Stylized/garden_25/train/ours_31500/renders	
garden_26	1	160	0.225334	success	5	156	0.612806	success	/mnt/data2/experiments/3dgs/output_Stylized/garden_26/train/ours_31500/renders	
garden_27	1	160	0.180773	success	5	156	0.457948	success	/mnt/data2/experiments/3dgs/output_Stylized/garden_27/train/ours_31500/renders	
garden_28	1	160	0.173778	success	5	156	0.441249	success	/mnt/data2/experiments/3dgs/output_Stylized/garden_28/train/ours_31500/renders	
garden_29	1	160	0.189237	success	5	156	0.475732	success	/mnt/data2/experiments/3dgs/output_Stylized/garden_29/train/ours_31500/renders	
garden_30	1	160	0.205937	success	5	156	0.571119	success	/mnt/data2/experiments/3dgs/output_Stylized/garden_30/train/ours_31500/renders	
garden_31	1	160	0.194983	success	5	156	0.485186	success	/mnt/data2/experiments/3dgs/output_Stylized/garden_31/train/ours_31500/renders	
garden_32	1	160	0.189662	success	5	156	0.581528	success	/mnt/data2/experiments/3dgs/output_Stylized/garden_32/train/ours_31500/renders	
garden_33	1	160	0.195122	success	5	156	0.515522	success	/mnt/data2/experiments/3dgs/output_Stylized/garden_33/train/ours_31500/renders	
garden_34	1	160	0.212335	success	5	156	0.535095	success	/mnt/data2/experiments/3dgs/output_Stylized/garden_34/train/ours_31500/renders	
garden_35	1	160	0.181476	success	5	156	0.442922	success	/mnt/data2/experiments/3dgs/output_Stylized/garden_35/train/ours_31500/renders	
